mc	mn	mc_onset	mn_onset	timesig	staff	voice	label    	alt_label	globalkey	localkey	pedal	chord  	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones  	added_tones	root	bass_note
1 	1 	0       	0       	4/4    	5    	1    	g.i      	         	g        	i       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
1 	1 	1/4     	1/4     	4/4    	5    	1    	VII(+2)  	         	g        	i       	     	VII(+2)	VII    	    	       	+2     	            	       	         	M         	1                 	1                	-2, 2, -1    	0          	-2  	-2
1 	1 	1/2     	1/2     	4/4    	5    	1    	VI       	         	g        	i       	     	VI     	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
1 	1 	3/4     	3/4     	4/4    	5    	1    	iio6     	         	g        	i       	     	iio6   	ii     	o   	6      	       	            	       	         	o         	1                 	1                	-1, -4, 2    	           	2   	-1
2 	2 	1/4     	1/4     	4/4    	5    	1    	iv7      	         	g        	i       	     	iv7    	iv     	    	7      	       	            	       	         	mm7       	1                 	1                	-1, -4, 0, -3	           	-1  	-1
2 	2 	1/2     	1/2     	4/4    	5    	1    	V\\      	         	g        	i       	     	V      	V      	    	       	       	            	       	\\       	M         	1                 	1                	1, 5, 2      	           	1   	1
3 	3 	1/2     	1/2     	4/4    	5    	1    	v.i      	         	g        	v       	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
3 	3 	3/4     	3/4     	4/4    	5    	1    	VII      	         	g        	v       	     	VII    	VII    	    	       	       	            	       	         	M         	1                 	1                	-2, 2, -1    	           	-2  	-2
4 	4 	0       	0       	4/4    	5    	1    	VI       	         	g        	v       	     	VI     	VI     	    	       	       	            	       	         	M         	1                 	1                	-4, 0, -3    	           	-4  	-4
4 	4 	1/4     	1/4     	4/4    	5    	1    	ii6      	         	g        	v       	     	ii6    	ii     	    	6      	       	            	       	         	m         	1                 	1                	-1, 3, 2     	           	2   	-1
4 	4 	3/4     	3/4     	4/4    	5    	1    	iv7      	         	g        	v       	     	iv7    	iv     	    	7      	       	            	       	         	mm7       	1                 	1                	-1, -4, 0, -3	           	-1  	-1
5 	5 	0       	0       	4/4    	5    	1    	V\\      	         	g        	v       	     	V      	V      	    	       	       	            	       	\\       	M         	1                 	1                	1, 5, 2      	           	1   	1
6 	6 	1/8     	1/8     	4/4    	5    	1    	VII.I[I  	         	g        	VII     	I    	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
6 	6 	3/8     	3/8     	4/4    	5    	1    	V]       	         	g        	VII     	I    	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
6 	6 	1/2     	1/2     	4/4    	5    	1    	IV       	         	g        	VII     	     	IV     	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0     	           	-1  	-1
7 	7 	1/8     	1/8     	4/4    	5    	1    	V7       	         	g        	VII     	     	V7     	V      	    	7      	       	            	       	         	Mm7       	1                 	0                	1, 5, 2, -1  	           	1   	1
7 	7 	1/4     	1/4     	4/4    	5    	1    	vi       	         	g        	VII     	     	vi     	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4      	           	3   	3
7 	7 	3/4     	3/4     	4/4    	5    	1    	viio6/V  	         	g        	VII     	     	viio6/V	vii    	o   	6      	       	V           	       	         	o         	1                 	0                	3, 0, 6      	           	6   	3
8 	8 	0       	0       	4/4    	5    	1    	V(4)     	         	g        	VII     	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2      	           	1   	1
8 	8 	1/4     	1/4     	4/4    	5    	1    	V        	         	g        	VII     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
8 	8 	1/2     	1/2     	4/4    	5    	1    	I\\      	         	g        	VII     	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1      	           	0   	0
8 	8 	3/4     	3/4     	4/4    	5    	1    	I        	         	g        	VII     	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
9 	9 	1/4     	1/4     	4/4    	5    	1    	vi6      	         	g        	VII     	     	vi6    	vi     	    	6      	       	            	       	         	m         	1                 	0                	0, 4, 3      	           	3   	0
9 	9 	5/8     	5/8     	4/4    	5    	1    	V6       	         	g        	VII     	     	V6     	V      	    	6      	       	            	       	         	M         	1                 	0                	5, 2, 1      	           	1   	5
9 	9 	3/4     	3/4     	4/4    	5    	1    	vi       	         	g        	VII     	     	vi     	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4      	           	3   	3
10	10	0       	0       	4/4    	5    	1    	iii6     	         	g        	VII     	     	iii6   	iii    	    	6      	       	            	       	         	m         	1                 	0                	1, 5, 4      	           	4   	1
10	10	1/4     	1/4     	4/4    	5    	1    	IV       	         	g        	VII     	     	IV     	IV     	    	       	       	            	       	         	M         	1                 	0                	-1, 3, 0     	           	-1  	-1
10	10	1/2     	1/2     	4/4    	5    	1    	vi64     	         	g        	VII     	     	vi64   	vi     	    	64     	       	            	       	         	m         	1                 	0                	4, 3, 0      	           	3   	4
10	10	3/4     	3/4     	4/4    	5    	1    	ii       	         	g        	VII     	     	ii     	ii     	    	       	       	            	       	         	m         	1                 	0                	2, -1, 3     	           	2   	2
11	11	0       	0       	4/4    	5    	1    	vi6      	         	g        	VII     	     	vi6    	vi     	    	6      	       	            	       	         	m         	1                 	0                	0, 4, 3      	           	3   	0
11	11	1/4     	1/4     	4/4    	5    	1    	IV.I6(+2)	         	g        	IV      	     	I6(+2) 	I      	    	6      	+2     	            	       	         	M         	1                 	0                	4, 1, 0      	2          	0   	4
11	11	1/2     	1/2     	4/4    	5    	1    	V(4)     	         	g        	IV      	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2      	           	1   	1
11	11	3/4     	3/4     	4/4    	5    	1    	V        	         	g        	IV      	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
12	12	0       	0       	4/4    	5    	1    	I\\      	         	g        	IV      	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1      	           	0   	0
13	13	0       	0       	4/4    	5    	1    	V        	         	g        	IV      	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
15	15	0       	0       	4/4    	5    	1    	III.vi   	         	g        	III     	     	vi     	vi     	    	       	       	            	       	         	m         	1                 	0                	3, 0, 4      	           	3   	3
19	19	0       	0       	4/4    	5    	1    	IVM7     	         	g        	III     	     	IVM7   	IV     	M   	7      	       	            	       	         	MM7       	1                 	0                	-1, 3, 0, 4  	           	-1  	-1
19	19	1/4     	1/4     	4/4    	5    	1    	ii6      	         	g        	III     	     	ii6    	ii     	    	6      	       	            	       	         	m         	1                 	0                	-1, 3, 2     	           	2   	-1
20	20	0       	0       	4/4    	5    	1    	iii      	         	g        	III     	     	iii    	iii    	    	       	       	            	       	         	m         	1                 	0                	4, 1, 5      	           	4   	4
21	21	0       	0       	4/4    	5    	1    	I        	         	g        	III     	     	I      	I      	    	       	       	            	       	         	M         	1                 	0                	0, 4, 1      	           	0   	0
22	22	0       	0       	4/4    	5    	1    	V(4)     	         	g        	III     	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	0                	1, 0, 2      	           	1   	1
22	22	1/4     	1/4     	4/4    	5    	1    	V        	         	g        	III     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
23	23	0       	0       	4/4    	5    	1    	I\\      	         	g        	III     	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	0                	0, 4, 1      	           	0   	0
23	23	3/4     	3/4     	4/4    	5    	1    	iv.IV    	         	g        	iv      	     	IV     	IV     	    	       	       	            	       	         	M         	1                 	1                	-1, 3, 0     	           	-1  	-1
24	24	1/4     	1/4     	4/4    	5    	1    	VII6     	         	g        	iv      	     	VII6   	VII    	    	6      	       	            	       	         	M         	1                 	1                	2, -1, -2    	           	-2  	2
24	24	1/2     	1/2     	4/4    	5    	1    	i        	         	g        	iv      	     	i      	i      	    	       	       	            	       	         	m         	1                 	1                	0, -3, 1     	           	0   	0
25	25	1/2     	1/2     	4/4    	5    	1    	V(4)     	         	g        	iv      	     	V(4)   	V      	    	       	4      	            	       	         	M         	1                 	1                	1, 0, 2      	           	1   	1
25	25	3/4     	3/4     	4/4    	5    	1    	V        	         	g        	iv      	     	V      	V      	    	       	       	            	       	         	M         	1                 	1                	1, 5, 2      	           	1   	1
26	26	0       	0       	4/4    	5    	1    	I\\      	         	g        	iv      	     	I      	I      	    	       	       	            	       	\\       	M         	1                 	1                	0, 4, 1      	           	0   	0
26	26	3/4     	3/4     	4/4    	5    	1    	VII.V    	         	g        	VII     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
27	27	1/4     	1/4     	4/4    	5    	1    	I6(2)    	         	g        	VII     	     	I6(2)  	I      	    	6      	2      	            	       	         	M         	1                 	0                	4, 1, 2      	           	0   	4
27	27	1/2     	1/2     	4/4    	5    	1    	I6       	         	g        	VII     	     	I6     	I      	    	6      	       	            	       	         	M         	1                 	0                	4, 1, 0      	           	0   	4
28	28	0       	0       	4/4    	5    	1    	V        	         	g        	VII     	     	V      	V      	    	       	       	            	       	         	M         	1                 	0                	1, 5, 2      	           	1   	1
